Device,CVE,CVSS Base Score 2.0,Impact Subcore,Exploitability Subscore
smart_thermostat_D_1,CVE-2018-11315,3.3,2.9,6.5
cleaner_D_1,CVE-2018-10987,8.5,10,6.8
light_D_1,CVE-2020-6007,4.3,6.4,3.2
ip_camera_D_1,CVE-2020-3110,8.3,10,6.5
smart_meter_D_1,CVE-2017-9944,10,10,10
smart_tv_D_2,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_D_2,CVE-2018-11315,3.3,2.9,6.5
cleaner_D_2,CVE-2018-10987,8.5,10,6.8
light_D_2,CVE-2020-6007,4.3,6.4,3.2
ip_camera_D_2,CVE-2020-3110,8.3,10,6.5
smart_meter_D_2,CVE-2017-9944,10,10,10
smart_tv_D_3,CVE-2019-11336,4.3,2.9,8.6
smart_thermostat_D_3,CVE-2018-11315,3.3,2.9,6.5
cleaner_D_3,CVE-2018-10987,8.5,10,6.8
light_D_3,CVE-2020-6007,4.3,6.4,3.2
ip_camera_D_3,CVE-2020-3110,8.3,10,6.5
smart_meter_D_3,CVE-2017-9944,10,10,10
